variance,skewness,class
-0.206 ,9.221 ,0
0.571 ,-0.025 ,0
-0.048 ,-0.561 ,0
1.326 ,1.033 ,0
0.497 ,5.527 ,0
5.019 ,8.598 ,0
5.402 ,3.104 ,0
-0.416 ,0.325 ,1
4.161 ,11.220 ,0
-6.200 ,8.681 ,1
-4.478 ,-13.030 ,1
-1.389 ,12.503 ,0
-4.017 ,-8.312 ,1
-3.970 ,3.681 ,1
-2.659 ,-1.606 ,1
-0.510 ,-0.236 ,1
-3.920 ,4.072 ,1
3.864 ,3.706 ,0
-2.726 ,3.921 ,1
1.181 ,8.385 ,0
0.164 ,-3.358 ,1
3.235 ,9.647 ,0
-3.724 ,1.904 ,1
-0.965 ,9.411 ,0
-0.556 ,3.214 ,1
1.357 ,4.236 ,0
0.738 ,4.853 ,1
5.043 ,-0.530 ,0
-1.998 ,-6.607 ,1
2.015 ,1.848 ,0
2.642 ,7.586 ,0
4.468 ,2.291 ,0
-0.499 ,1.773 ,1
0.189 ,0.701 ,1
-2.565 ,-5.790 ,1
3.936 ,10.162 ,0
3.229 ,7.739 ,0
-1.438 ,-1.862 ,1
5.262 ,3.983 ,0
-1.819 ,-9.037 ,1
0.884 ,6.591 ,0
-1.682 ,-6.812 ,1
5.130 ,8.670 ,0
-2.446 ,1.629 ,1
-0.167 ,5.897 ,0
-1.522 ,10.841 ,0
-0.735 ,1.736 ,1
0.964 ,5.616 ,0
-0.783 ,11.360 ,0
1.594 ,4.706 ,0
-3.993 ,2.622 ,1
0.385 ,6.599 ,0
0.214 ,-0.695 ,1
3.240 ,-3.708 ,0
-1.083 ,-0.312 ,1
-2.007 ,-6.719 ,1
-2.761 ,-10.510 ,1
2.974 ,8.960 ,0
-4.402 ,-12.937 ,1
3.359 ,9.802 ,0
0.896 ,10.547 ,0
2.610 ,8.008 ,0
0.396 ,6.887 ,0
-1.506 ,0.070 ,0
0.030 ,-1.051 ,1
4.368 ,9.672 ,0
4.936 ,7.605 ,0
-1.267 ,2.818 ,1
1.837 ,6.129 ,0
4.546 ,8.167 ,0
